1850,-0.41783333333333333
1851,-0.2334166666666667
1852,-0.23483333333333334
1853,-0.27025
1854,-0.2914166666666667
1855,-0.29683333333333334
1856,-0.3204166666666667
1857,-0.4673333333333333
1858,-0.38891666666666663
1859,-0.28133333333333327
1860,-0.3900833333333333
1861,-0.4291666666666667
1862,-0.5365000000000001
1863,-0.3441666666666667
1864,-0.4655
1865,-0.33241666666666664
1866,-0.3411666666666667
1867,-0.3569166666666667
1868,-0.35191666666666666
1869,-0.2611666666666667
1870,-0.32783333333333337
1871,-0.36841666666666667
1872,-0.2824166666666667
1873,-0.3415000000000001
1874,-0.37325
1875,-0.3755
1876,-0.42399999999999993
1877,-0.07358333333333332
1878,0.10358333333333335
1879,-0.30350000000000005
1880,-0.31583333333333335
1881,-0.23233333333333328
1882,-0.29549999999999993
1883,-0.3464166666666666
1884,-0.4923333333333333
1885,-0.47116666666666673
1886,-0.421
1887,-0.4989166666666667
1888,-0.37933333333333336
1889,-0.24991666666666668
1890,-0.50675
1891,-0.4014166666666667
1892,-0.5075833333333333
1893,-0.49466666666666675
1894,-0.4838333333333334
1895,-0.4487499999999999
1896,-0.28391666666666665
1897,-0.25975000000000004
1898,-0.4859166666666667
1899,-0.3555
1900,-0.23466666666666666
1901,-0.29341666666666666
1902,-0.4389166666666666
1903,-0.5332500000000001
1904,-0.5975833333333334
1905,-0.4076666666666667
1906,-0.31908333333333333
1907,-0.5041666666666667
1908,-0.5138333333333334
1909,-0.5357500000000001
1910,-0.5310833333333334
1911,-0.539
1912,-0.47550000000000003
1913,-0.4670833333333333
1914,-0.2624166666666667
1915,-0.19166666666666668
1916,-0.42016666666666674
1917,-0.5428333333333334
1918,-0.42441666666666666
1919,-0.3253333333333333
1920,-0.29825
1921,-0.24033333333333332
1922,-0.3389999999999999
1923,-0.3175833333333334
1924,-0.31175
1925,-0.28250000000000003
1926,-0.07791666666666668
1927,-0.2290833333333333
1928,-0.20633333333333334
1929,-0.39241666666666664
1930,-0.16641666666666666
1931,-0.10341666666666667
1932,-0.11658333333333333
1933,-0.32241666666666663
1934,-0.1625
1935,-0.1805
1936,-0.16933333333333334
1937,-0.019666666666666662
1938,-0.004833333333333332
1939,-0.06791666666666667
1940,0.06991666666666667
1941,0.05825
1942,0.05541666666666668
1943,-0.02149999999999999
1944,0.1355
1945,0.055249999999999994
1946,-0.08691666666666668
1947,-0.07008333333333332
1948,-0.09149999999999998
1949,-0.14383333333333334
1950,-0.22666666666666666
1951,-0.06224999999999999
1952,0.034083333333333334
1953,0.10483333333333333
1954,-0.09399999999999999
1955,-0.1585
1956,-0.26308333333333334
1957,-0.02616666666666666
1958,0.032749999999999994
1959,-0.014583333333333332
1960,-0.10283333333333333
1961,0.035583333333333335
1962,-0.050166666666666665
1963,-0.020833333333333325
1964,-0.3060833333333333
1965,-0.2045
1966,-0.13733333333333336
1967,-0.10058333333333332
1968,-0.15275
1969,-0.03891666666666667
1970,-0.05825
1971,-0.20591666666666666
1972,-0.09791666666666667
1973,0.1281666666666667
1974,-0.153
1975,-0.08616666666666667
1976,-0.21583333333333332
1977,0.14766666666666664
1978,0.03333333333333333
1979,0.02516666666666667
1980,0.23858333333333337
1981,0.28116666666666673
1982,0.02391666666666667
1983,0.248
1984,0.08808333333333335
1985,0.04616666666666666
1986,0.14250000000000002
1987,0.20783333333333334
1988,0.3561666666666666
1989,0.13483333333333336
1990,0.3993333333333333
1991,0.35416666666666674
1992,0.24800000000000003
1993,0.2204166666666667
1994,0.20225
1995,0.41083333333333333
1996,0.276
1997,0.35308333333333336
1998,0.6480833333333333
1999,0.34641666666666665
2000,0.3840833333333333
2001,0.442
2002,0.5982500000000001
2003,0.5053333333333333
2004,0.4739166666666666
2005,0.5953333333333333
2006,0.535
2007,0.6543333333333333
2008,0.39058333333333334
2009,0.53325
2010,0.7579166666666666
2011,0.5029166666666667
2012,0.5236666666666666
2013,0.5815833333333333
2014,0.6555
2015,0.7507499999999999
2016,1.0284166666666665
2017,0.8923333333333332
2018,0.7599999999999999
2019,0.8713333333333333
2020,1.0093333333333334
2021,0.6934166666666667
2022,0.8018333333333335
2023,0.9344166666666666
